nct_id,title,condition,status,phase,start_date,completion_date
NCT45496015,Popular early yourself she final movie.,Cancer,Recruiting,Not Applicable,2024-02-24,2025-06-10
NCT30863865,Environment whom ground possible key team art relationship.,Alzheimer's,Terminated,Not Applicable,2024-02-10,2024-06-20
NCT38270233,Spend material executive administration.,Asthma,Terminated,Phase II,2023-12-16,2024-02-07
NCT95125977,Unit investment behind also agency value.,Alzheimer's,Withdrawn,Phase IV,2023-03-25,2023-08-26
NCT43704923,Final this agree perform they sense born institution.,Cancer,Recruiting,Phase IV,2024-04-03,2024-07-13
NCT47135391,Pressure education how attorney whole another.,Cancer,Recruiting,Phase III,2021-07-16,2022-04-11
NCT27558317,Similar commercial rich.,Asthma,Terminated,Phase II,2021-02-08,2024-09-24
NCT69302158,Be control I difficult.,Heart Disease,"Active, not recruiting",Not Applicable,2021-04-02,2024-12-16
NCT11297845,Start choice example wish.,Cancer,Recruiting,Phase II,2020-08-18,2020-11-30
NCT83227889,Same term five cell gas subject.,Cancer,Terminated,Not Applicable,2021-11-02,2022-05-11
NCT84158663,If direction pick fine.,Diabetes,"Active, not recruiting",Phase II,2021-02-10,2022-07-27
NCT15614174,Various ever matter own site nearly prove.,Alzheimer's,Terminated,Phase I,2020-08-30,2022-11-05
NCT58024342,Of thousand perhaps week one.,Diabetes,Completed,Phase I,2020-08-03,2021-06-09
NCT57469942,Budget throughout ball.,Heart Disease,"Active, not recruiting",Not Applicable,2023-12-21,2024-03-03
NCT30743797,Into change girl while apply star recently.,Diabetes,Completed,Phase II,2023-07-10,2024-04-28
NCT65337219,Thus high security community prepare exactly fight.,Cancer,Completed,Phase III,2024-04-13,2024-10-04
NCT65259205,Southern action office interview minute right American.,Asthma,Completed,Phase III,2024-05-05,2025-02-05
NCT31367172,Indicate full but former.,Asthma,Recruiting,Phase IV,2024-02-07,2024-11-06
NCT15197528,Half stage book window perhaps animal.,COVID-19,Completed,Phase II,2021-02-16,2021-09-26
NCT71780854,Rise current shoulder candidate.,Alzheimer's,Terminated,Phase II,2023-11-24,2024-11-03
NCT39920292,Relationship than individual wide.,Cancer,Completed,Phase IV,2021-05-22,2023-05-15
NCT54058573,Audience already statement debate left show expect.,Alzheimer's,Recruiting,Phase III,2023-05-28,2023-12-08
NCT57130035,Ok worry natural chance official.,Asthma,Withdrawn,Phase IV,2021-04-07,2025-03-23
NCT81969657,New store mission only.,Alzheimer's,Recruiting,Phase I,2020-12-05,2025-04-07
NCT45059710,Thing citizen voice threat.,Diabetes,Withdrawn,Phase III,2022-10-16,2023-06-01
NCT15134794,Major full arm concern just.,Cancer,Withdrawn,Phase IV,2021-02-25,2023-11-08
NCT56397338,Shake take interview start wide police.,Asthma,Terminated,Phase IV,2022-01-30,2022-11-27
